time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-21T08:37:20.653Z,-30.8137,-177.4198,35,6.2,mww,,59,1.624,1.26,us,us6000444m,2019-06-22T08:43:10.105Z,"156km ENE of L'Esperance Rock, New Zealand",earthquake,4.8,1.9,0.05,39,reviewed,us,us
2019-06-21T07:38:07.950Z,48.6911666666667,-122.238833333333,14.15,2.83,ml,31,63,,0.3,uw,uw61529802,2019-06-22T15:50:02.904Z,"9km SE of Sudden Valley, Washington",earthquake,0.4,1.13,0.171455724176516,16,reviewed,uw,uw
2019-06-21T07:27:43.421Z,-31.0646,-177.5986,35,5.3,mb,,58,1.835,1,us,us6000443w,2019-06-21T07:49:18.040Z,"130km ENE of L'Esperance Rock, New Zealand",earthquake,6.6,1.9,0.048,142,reviewed,us,us
2019-06-21T06:50:54.487Z,47.1716,-0.5973,3.36,4.3,mb,,109,2.114,0.95,us,us6000443c,2019-06-23T06:53:07.409Z,"5km WNW of Vihiers, France",earthquake,3.3,6.4,0.168,10,reviewed,us,us
2019-06-21T06:38:30.204Z,-6.0336,149.7229,51.66,5.3,mww,,65,3.043,0.63,us,us60004438,2019-06-21T06:58:32.040Z,"27km NE of Kandrian, Papua New Guinea",earthquake,7.9,4,0.071,19,reviewed,us,us
2019-06-21T05:23:06.050Z,43.6684,-128.3375,10,4.2,mb,,198,3.03,1.02,us,us6000442t,2019-06-22T04:59:42.630Z,"Off the coast of Oregon",earthquake,10,1.9,0.089,35,reviewed,us,us
2019-06-21T05:18:48.409Z,60.0194,-153.4544,158,2.7,ml,,,,0.44,ak,ak0197wjitlj,2019-06-21T09:16:22.040Z,"65km SW of Redoubt Volcano, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-06-21T04:39:18.900Z,40.4466667,-124.6825,17.09,2.61,md,14,290,0.2648,0.14,nc,nc73200446,2019-06-23T04:16:22.716Z,"36km WNW of Petrolia, CA",earthquake,1.53,0.88,0.282,9,reviewed,nc,nc
2019-06-21T03:13:58.884Z,64.5087,-147.9337,17.5,2.5,ml,,,,0.78,ak,ak0197wiawja,2019-06-21T03:41:56.040Z,"37km SSW of Badger, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-06-21T02:36:04.810Z,19.193,-66.501,30,3.55,md,20,234,0.7165,0.37,pr,pr2019172000,2019-06-21T03:48:58.123Z,"71km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,1.49,13.14,0.28,19,reviewed,pr,pr
2019-06-21T01:46:32.110Z,56.9353,-33.9395,10,4.4,mb,,120,7.275,1.32,us,us6000441a,2019-06-21T02:05:53.040Z,"Reykjanes Ridge",earthquake,5.5,1.9,0.076,50,reviewed,us,us
2019-06-20T23:19:22.853Z,61.5811,-149.8846,32.7,2.9,ml,,,,0.61,ak,ak0197v6pfpg,2019-06-22T04:03:32.040Z,"6km SSW of Houston, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-06-20T23:15:15.944Z,-34.0699,179.6443,43.74,5.1,mb,,61,3.65,0.76,us,us60004406,2019-06-21T04:44:03.040Z,"South of the Kermadec Islands",earthquake,9.7,6.4,0.099,33,reviewed,us,us
2019-06-20T21:45:06.901Z,-31.0064,-177.3809,10,5.1,mb,,75,1.818,0.98,us,us600043ya,2019-06-21T04:39:50.040Z,"152km ENE of L'Esperance Rock, New Zealand",earthquake,5.8,1.8,0.067,72,reviewed,us,us
2019-06-20T21:15:59.170Z,-33.577,-67.6901,205.02,4.6,mb,,110,1.948,0.94,us,us600043xm,2019-06-21T04:38:20.040Z,"90km SE of San Martin, Argentina",earthquake,5.9,6.9,0.103,28,reviewed,us,us
2019-06-20T20:38:36.385Z,51.0909,-179.8775,7.1,2.6,ml,,,,0.56,ak,ak0197v518w0,2019-06-20T23:19:08.212Z,"57km WSW of Amatignak Island, Alaska",earthquake,,1,,,reviewed,ak,ak
2019-06-20T16:30:01.046Z,-7.4012,125.4604,437.88,5,mww,,34,2.619,0.49,us,us600043sa,2019-06-20T18:50:17.040Z,"128km N of Dili, East Timor",earthquake,10.2,6.9,0.071,19,reviewed,us,us
2019-06-20T14:30:07.216Z,-33.2235,119.4365,10,4.3,mb,,157,1.868,1.19,us,us600043pw,2019-06-20T22:32:41.262Z,"68km NW of Ravensthorpe, Australia",earthquake,8.2,1.9,0.168,10,reviewed,us,us
2019-06-20T13:49:32.780Z,33.5275,-116.7325,2.99,2.63,ml,121,11,0.03801,0.21,ci,ci38423479,2019-06-20T21:39:55.437Z,"6km WSW of Anza, CA",earthquake,0.1,0.33,0.154,136,reviewed,ci,ci
2019-06-20T13:28:58.717Z,-2.2415,138.2835,10,4.4,mb,,126,6.066,1.07,us,us600043ph,2019-06-20T15:20:50.040Z,"259km W of Abepura, Indonesia",earthquake,9.2,1.9,0.144,14,reviewed,us,us
2019-06-20T12:33:31.430Z,20.7653333,-156.0576667,22.53,2.98,ml,79,196,,0.2,hv,hv71001566,2019-06-20T19:50:37.430Z,"7km W of Hana, Hawaii",earthquake,0.57,0.83,0.126,15,reviewed,hv,hv
2019-06-20T11:23:03.600Z,36.28916667,-97.51083333,7.26,3.02,ml,93,27,0,0.19,ok,ok2019lzmb,2019-06-22T09:08:02.156Z,"20km W of Perry, Oklahoma",earthquake,,0.4,0.26,40,reviewed,ok,ok
2019-06-20T10:25:59.100Z,36.5195,-98.9695,5.33,2.62,ml,57,110,0.03419329011,0.16,ok,ok2019lzke,2019-06-20T13:40:38.292Z,"24km ENE of Mooreland, Oklahoma",earthquake,,0.3,0.19,26,reviewed,ok,ok
